x,y,numerical_real,numerical_imag,density
-1.0000000000000000e+01,-1.0000000000000000e+01,-2.4385647431741859e-06,2.9309258775675183e-07,6.0325012716501329e-12
-9.8347107438016526e+00,-1.0000000000000000e+01,-1.9509601025737504e-06,5.1601913286612101e-07,4.0725210673184817e-12
-9.6694214876033051e+00,-1.0000000000000000e+01,-2.1341334996418906e-06,7.1713213591104998e-07,5.0688042946500878e-12
-9.5041322314049594e+00,-1.0000000000000000e+01,-2.4017481852108193e-06,7.1935643183598126e-07,6.2858680211872590e-12
-9.3388429752066120e+00,-1.0000000000000000e+01,-1.9370153323085762e-06,7.5650837329426164e-07,4.3243333164628336e-12
-9.1735537190082646e+00,-1.0000000000000000e+01,-1.8326988992388332e-06,9.0093456562527024e-07,4.1704683468096249e-12
-9.0082644628099171e+00,-1.0000000000000000e+01,-2.0882259864334909e-06,8.7015257010244572e-07,5.1178532656720182e-12
-8.8429752066115697e+00,-1.0000000000000000e+01,-2.1981090830033235e-06,8.0086379073242915e-07,5.4730663520880278e-12
-8.6776859504132240e+00,-1.0000000000000000e+01,-1.3109421134677100e-06,6.3093877044461754e-07,2.1166529569133522e-12
-8.5123966942148765e+00,-1.0000000000000000e+01,-9.7895793583504706e-07,8.3167812253441718e-07,1.6500471396367891e-12
-8.3471074380165291e+00,-1.0000000000000000e+01,-1.0571303168882460e-06,8.3012915633268108e-07,1.8066389230778524e-12
-8.1818181818181817e+00,-1.0000000000000000e+01,-1.1378049527743301e-06,9.0268891540533669e-07,2.1094473885534587e-12
-8.0165289256198342e+00,-1.0000000000000000e+01,-5.5024976495703927e-07,7.0307322905919222e-07,7.9708676925499633e-13
-7.8512396694214877e+00,-1.0000000000000000e+01,-7.0510634811139085e-07,9.2125897376378868e-07,1.3458930588872909e-12
-7.6859504132231402e+00,-1.0000000000000000e+01,-1.1402000795441997e-06,8.5409555924627969e-07,2.0295354457168144e-12
-7.5206611570247937e+00,-1.0000000000000000e+01,-1.0821435067521215e-06,7.7240166021758402e-07,1.7676388939126588e-12
-7.3553719008264462e+00,-1.0000000000000000e+01,-2.4514829972336954e-07,4.4539970146886961e-07,2.5847858292581720e-13
-7.1900826446280988e+00,-1.0000000000000000e+01,1.4114235317802840e-08,5.8274236204202976e-07,3.3978787215693035e-13
-7.0247933884297522e+00,-1.0000000000000000e+01,-1.3570318469296569e-07,5.8628098732716569e-07,3.6214075043712940e-13
-6.8595041322314048e+00,-1.0000000000000000e+01,1.4237830851494469e-07,4.4067774894041180e-07,2.1446846114676540e-13
-6.6942148760330582e+00,-1.0000000000000000e+01,6.0818244904531851e-07,2.7960184063188366e-07,4.4806308061149868e-13
-6.5289256198347108e+00,-1.0000000000000000e+01,3.6598817150082019e-07,4.9060014805480824e-07,3.7463584694991350e-13
-6.3636363636363633e+00,-1.0000000000000000e+01,-2.3640261352135704e-07,6.4228355686459283e-07,4.6841436309836068e-13
-6.1983471074380168e+00,-1.0000000000000000e+01,1.2900475902353747e-07,1.4843574222350895e-07,3.8675397420164971e-14
-6.0330578512396693e+00,-1.0000000000000000e+01,8.4263235127157160e-07,-2.7581153487757853e-07,7.8610128218098298e-13
-5.8677685950413228e+00,-1.0000000000000000e+01,1.0897588066847232e-06,-5.3569980452408442e-07,1.4745485373140542e-12
-5.7024793388429753e+00,-1.0000000000000000e+01,8.7492018904755576e-07,-6.3310489911504063e-07,1.1663071504864764e-12
-5.5371900826446279e+00,-1.0000000000000000e+01,1.3800480050594938e-06,-1.4979309126256882e-06,4.1483295152683155e-12
