x,y,numerical_real,numerical_imag,density
-1.6000000000000000e+01,-1.6000000000000000e+01,2.4863637852150151e-08,1.3622629162917435e-10,6.1821904484540485e-16
-1.5735537190082646e+01,-1.6000000000000000e+01,1.4423922593619422e-08,-5.3227039669412982e-09,2.3638072050641747e-16
-1.5471074380165289e+01,-1.6000000000000000e+01,2.4595858679075110e-08,-3.4465588784979977e-09,6.1683503226398779e-16
-1.5206611570247933e+01,-1.6000000000000000e+01,1.5215636769650355e-08,3.0023906818995825e-10,2.3160574580400349e-16
-1.4942148760330578e+01,-1.6000000000000000e+01,2.3107077414366054e-08,-4.9193227192395737e-09,5.5813676264953245e-16
-1.4677685950413224e+01,-1.6000000000000000e+01,1.5656841581951328e-08,-3.7659894771615983e-09,2.5931936506441208e-16
-1.4413223140495868e+01,-1.6000000000000000e+01,2.2006899565501424e-08,-1.4776115461488653e-09,4.8648696436737921e-16
-1.4148760330578511e+01,-1.6000000000000000e+01,1.7870055750438228e-08,3.4490623612294231e-09,3.3123492369541986e-16
-1.3884297520661157e+01,-1.6000000000000000e+01,1.9368322549398045e-08,-3.8714432085470424e-09,3.9011999089452578e-16
-1.3619834710743802e+01,-1.6000000000000000e+01,1.8770105254241081e-08,-1.2345060998225130e-09,3.5384085656578762e-16
-1.3355371900826446e+01,-1.6000000000000000e+01,1.9499640091007093e-08,1.4265695558185179e-09,3.8227106437639934e-16
-1.3090909090909090e+01,-1.6000000000000000e+01,2.3126815438230121e-08,4.5819274951365363e-09,5.5584365188464728e-16
-1.2826446280991735e+01,-1.6000000000000000e+01,1.8346997407324381e-08,7.3421831432927676e-11,3.3661770462969854e-16
-1.2561983471074381e+01,-1.6000000000000000e+01,2.5969216338157495e-08,2.3789818416622082e-09,6.8005975182098462e-16
-1.2297520661157025e+01,-1.6000000000000000e+01,2.0613776940229468e-08,6.7449026814634844e-09,4.7042151192394949e-16
-1.2033057851239668e+01,-1.6000000000000000e+01,2.8938702817538456e-08,3.2203149766510123e-09,8.4781894931065087e-16
-1.1768595041322314e+01,-1.6000000000000000e+01,1.6487688658942613e-08,-1.6523958095630865e-09,2.7457428922568649e-16
-1.1504132231404959e+01,-1.6000000000000000e+01,2.8382863296097959e-08,-3.4863652508963635e-09,8.1774167154764229e-16
-1.1239669421487603e+01,-1.6000000000000000e+01,1.9625989241561107e-08,2.3766593454946307e-09,3.9082796335439933e-16
-1.0975206611570247e+01,-1.6000000000000000e+01,2.9912601770326967e-08,-4.3893437150346760e-09,9.1403008291888255e-16
-1.0710743801652892e+01,-1.6000000000000000e+01,1.8202318480177788e-08,-3.0346621084422188e-09,3.4053357216623683e-16
-1.0446280991735538e+01,-1.6000000000000000e+01,3.0788310445734628e-08,-5.0515718161030785e-09,9.7343843791617894e-16
-1.0181818181818182e+01,-1.6000000000000000e+01,2.4270186741403539e-08,4.0607968296014388e-09,6.0553203535390127e-16
-9.9173553719008254e+00,-1.6000000000000000e+01,2.9560193353295139e-08,-5.0622000284810860e-09,8.9943090021254806e-16
-9.6528925619834709e+00,-1.6000000000000000e+01,2.1238244619910962e-08,-1.8759708052593301e-09,4.5458230099736233e-16
-9.3884297520661164e+00,-1.6000000000000000e+01,2.9691844820790654e-08,-4.1968477361510317e-09,8.9921917978234874e-16
-9.1239669421487601e+00,-1.6000000000000000e+01,3.0165459392571193e-08,3.9358564068626620e-09,9.2544590602030345e-16
-8.8595041322314039e+00,-1.6000000000000000e+01,3.1011421236928043e-08,-2.8482436550192583e-09,9.6982073905254917e-16
-8.5950413223140494e+00,-1.6000000000000000e+01,3.3779460614839546e-08,6.7899043736061436e-10,1.1415129874435232e-15
-8.3305785123966949e+00,-1.6000000000000000e+01,3.7461625933184461e-08,2.7527181048728790e-09,1.4109508745227337e-15
-8.0661157024793386e+00,-1.6000000000000000e+01,4.6389205910503854e-08,6.3152987076113296e-09,2.1918414227734830e-15
-7.8016528925619824e+00,-1.6000000000000000e+01,3.6165884160709788e-08,2.9256444177904708e-09,1.3165305723852277e-15
-7.5371900826446279e+00,-1.6000000000000000e+01,4.6284402242445336e-08,-5.2805176759856761e-11,2.1422486793271714e-15
-7.2727272727272734e+00,-1.6000000000000000e+01,4.1409817440345076e-08,4.9397695041771902e-09,1.7391743031971062e-15
-7.0082644628099171e+00,-1.6000000000000000e+01,5.7352931308296010e-08,-4.8839102775999226e-10,3.2895972554501171e-15
-6.7438016528925608e+00,-1.6000000000000000e+01,4.2329283200359651e-08,1.5111685499235710e-09,1.7940518466425280e-15
-6.4793388429752063e+00,-1.6000000000000000e+01,6.0203984545830145e-08,-7.4099809903329110e-09,3.6794275734716502e-15
-6.2148760330578519e+00,-1.6000000000000000e+01,5.3440277418450614e-08,4.5170837755779360e-09,2.8762672963965518e-15
-5.9504132231404956e+00,-1.6000000000000000e+01,7.4319194523578336e-08,-5.2166856256859659e-09,5.5505564835507149e-15
-5.6859504132231393e+00,-1.6000000000000000e+01,5.5556290905318262e-08,4.1128054731229351e-09,3.1034166280160985e-15
-5.4214876033057848e+00,-1.6000000000000000e+01,7.4688755741633646e-08,-1.1069774736246987e-08,5.7009501469446656e-15
-5.1570247933884303e+00,-1.6000000000000000e+01,7.1532699614331916e-08,6.6269779712203193e-09,5.1608439511452806e-15
-4.8925619834710741e+00,-1.6000000000000000e+01,9.6762629827459957e-08,-8.0253070443412245e-09,9.4274120842819949e-15
-4.6280991735537178e+00,-1.6000000000000000e+01,8.2372921857598992e-08,7.2214032334420404e-09,6.8374469200180772e-15
-4.3636363636363633e+00,-1.6000000000000000e+01,1.0376831631011290e-07,-1.2932048898919822e-08,1.0935101358559696e-14
-4.0991735537190088e+00,-1.6000000000000000e+01,1.2357677342632015e-07,1.1972518534942269e-08,1.5414560130529602e-14
-3.8347107438016526e+00,-1.6000000000000000e+01,1.9688282283056019e-07,-7.4218001479872440e-10,3.8763396756904116e-14
-3.5702479338842963e+00,-1.6000000000000000e+01,2.1398115614396251e-07,2.1399188063782960e-08,4.6245860434496016e-14
-3.3057851239669418e+00,-1.6000000000000000e+01,2.6594671101932898e-07,-5.2129272026786491e-09,7.0754827712018908e-14
-3.0413223140495873e+00,-1.6000000000000000e+01,3.2782539629621702e-07,2.7779486814436972e-08,1.0824119034444522e-13
-2.7768595041322310e+00,-1.6000000000000000e+01,5.0141660217681279e-07,8.9061272224286711e-09,2.5149792804064222e-13
-2.5123966942148748e+00,-1.6000000000000000e+01,5.9535674350344943e-07,4.6135354790267363e-08,3.5657812299665596e-13
-2.2479338842975203e+00,-1.6000000000000000e+01,8.0536812640388960e-07,2.1122970933176228e-08,6.4906399892835525e-13
-1.9834710743801658e+00,-1.6000000000000000e+01,6.6815798069883188e-07,3.5783280220274313e-08,4.4771553031486326e-13
-1.7190082644628095e+00,-1.6000000000000000e+01,4.3878704230803527e-07,1.6900499821668630e-09,1.9253692476637575e-13
-1.4545454545454533e+00,-1.6000000000000000e+01,-3.1871238387135162e-07,-2.8179068704141866e-08,1.0237164354599254e-13
-1.1900826446280988e+00,-1.6000000000000000e+01,-1.7180044031210028e-06,-2.9969635131750889e-08,2.9524373081730832e-12
-9.2561983471074427e-01,-1.6000000000000000e+01,-2.2264010437649530e-06,-2.6133234949446862e-08,4.9575445536465951e-12
-6.6115702479338800e-01,-1.6000000000000000e+01,-2.4872373466833327e-08,-4.9854801964765114e-09,6.4348997466309401e-16
-3.9669421487603174e-01,-1.6000000000000000e+01,1.9389971202618396e-06,-9.1260436637185870e-09,3.7597931170566592e-12
-1.3223140495867725e-01,-1.6000000000000000e+01,-3.7578406183644541e-06,-3.0934749130096976e-08,1.4122323071733484e-11
1.3223140495867725e-01,-1.6000000000000000e+01,-3.7578445215725624e-06,-3.1679095464685374e-08,1.4122399013402380e-11
3.9669421487603529e-01,-1.6000000000000000e+01,1.9390248365742365e-06,-7.9834247759746144e-09,3.7598810519228986e-12
6.6115702479338978e-01,-1.6000000000000000e+01,-2.4868314061529865e-08,-2.2011650385633570e-08,1.1029457969622464e-15
9.2561983471074427e-01,-1.6000000000000000e+01,-2.2264012938374970e-06,-2.6053052311723889e-08,4.9575414827360378e-12
1.1900826446280988e+00,-1.6000000000000000e+01,-1.7180224995150940e-06,-1.8065266558766878e-08,2.9519276626959301e-12
1.4545454545454533e+00,-1.6000000000000000e+01,-3.1883414834538511e-07,-2.5374322838665319e-09,1.0166165271372224e-13
1.7190082644628113e+00,-1.6000000000000000e+01,4.3885676129817741e-07,-1.9518006000325408e-08,1.9297620949535421e-13
1.9834710743801658e+00,-1.6000000000000000e+01,6.6849639247465744e-07,-4.5981873195342292e-08,4.4900175941418375e-13
2.2479338842975203e+00,-1.6000000000000000e+01,8.0548479561176146e-07,-2.5231237010061705e-08,6.4944237128277903e-13
2.5123966942148783e+00,-1.6000000000000000e+01,5.9569305110195022e-07,-4.8620429060329520e-08,3.5721415725316119e-13
2.7768595041322328e+00,-1.6000000000000000e+01,5.0136893277457694e-07,-9.5139447302528775e-09,2.5146132189584857e-13
3.0413223140495873e+00,-1.6000000000000000e+01,3.2797973903679861e-07,-2.8210721796885745e-08,1.0836655404294780e-13
3.3057851239669418e+00,-1.6000000000000000e+01,2.6576262900561157e-07,5.4896828659278388e-09,7.0659911593942800e-14
3.5702479338842963e+00,-1.6000000000000000e+01,2.1408146647441431e-07,-2.0859179020295038e-08,4.6265979637236487e-14
3.8347107438016543e+00,-1.6000000000000000e+01,1.9674091366896418e-07,1.6999749553809695e-09,3.8709877026147738e-14
4.0991735537190088e+00,-1.6000000000000000e+01,1.2360101874002503e-07,-1.1396578080847213e-08,1.5407093825524866e-14
4.3636363636363633e+00,-1.6000000000000000e+01,1.0354080980816279e-07,1.3614669666764856e-08,1.0906058525865267e-14
4.6280991735537214e+00,-1.6000000000000000e+01,8.2384026515539596e-08,-6.6349287730773266e-09,6.8311501047369407e-15
4.8925619834710758e+00,-1.6000000000000000e+01,9.6589780121905262e-08,8.8173915551791784e-09,9.4073320178353501e-15
5.1570247933884303e+00,-1.6000000000000000e+01,7.1532647839958541e-08,-6.0499900891452378e-09,5.1535220870742804e-15
5.4214876033057848e+00,-1.6000000000000000e+01,7.4499060653518163e-08,1.1715920567540680e-08,5.6873728330015008e-15
5.6859504132231393e+00,-1.6000000000000000e+01,5.5534217460270364e-08,-3.6583346884481849e-09,3.0974327216173012e-15
5.9504132231404974e+00,-1.6000000000000000e+01,7.4180571420300567e-08,5.8496028476487195e-09,5.5369750297175330e-15
6.2148760330578519e+00,-1.6000000000000000e+01,5.3411374041620977e-08,-4.0783129886972783e-09,2.8694075138477202e-15
6.4793388429752063e+00,-1.6000000000000000e+01,6.0054540378198480e-08,7.9382345235393963e-09,3.6695633873873840e-15
6.7438016528925644e+00,-1.6000000000000000e+01,4.2267363053190556e-08,-1.1579491577373021e-09,1.7878708257221227e-15
7.0082644628099189e+00,-1.6000000000000000e+01,5.7254586858865368e-08,9.8390028741962593e-10,3.2790557761549433e-15
